Year,Response_Ratio,lnR,Hours,Standard_Error,Standard_Deviation
1,1.518596755,0.372463636,4380,0.018986222,0.157711403
2,1.293044361,0.236215385,13140,0.018300556,0.14867442
3,1.304315667,0.24367,21900,0.022586824,0.170526778
4,1.434060584,0.3482,30660,0.033543598,0.164329398
5,1.148977469,0.1289,39420,0.026396471,0.158378827
6,1.0714356,-0.017533333,48180,0.033596553,0.187057693
7,1.153736004,0.1357,56940,0.057096821,0.235416225
8,1.251313025,0.2151,65700,0.031902468,0.131537244
9,0.916666667,-0.087,74460,0.045178319,0.110663828
10,1.019230769,0.019,83220,0.047620977,0.116647095
11,0.964864865,-0.0358,91980,0.023386261,0.066146335
12,0.929530201,-0.0731,100740,0.028765381,0.081360783
13,0.940199336,-0.0617,109500,0.026539947,0.075066307